,0,1
0,600379,宝光股份
1,600792,云煤能源
2,600583,海油工程
3,600532,未来股份
4,600960,渤海汽车
5,603982,泉峰汽车
6,600793,宜宾纸业
7,603598,引力传媒
8,603500,祥和实业
9,603180,金牌厨柜
10,605358,立昂微
11,603366,日出东方
12,603290,斯达半导
13,601015,陕西黑猫
14,603801,志邦家居
15,600315,上海家化
16,600773,西藏城投
17,600460,士兰微
18,600151,航天机电
19,600055,万东医疗
20,603100,川仪股份
21,605055,迎丰股份
22,600198,大唐电信
23,600805,悦达投资
24,600559,老白干酒
25,603987,康德莱
26,600917,重庆燃气
27,603208,江山欧派
28,688508,芯朋微
29,600687,退市刚泰
30,603313,梦百合
31,603709,中源家居
32,605006,山东玻纤
33,605151,西上海
34,600908,无锡银行
35,688036,传音控股
36,600699,均胜电子
37,603008,喜临门
38,600965,福成股份
39,600584,长电科技
40,603385,惠达卫浴
41,603337,杰克股份
42,600883,博闻科技
43,600519,贵州茅台
44,603260,合盛硅业
45,603177,德创环保
46,603612,索通发展
47,688536,思瑞浦
48,600166,福田汽车
49,600997,开滦股份
50,600309,万华化学
51,603326,我乐家居
52,600247,*ST成城
53,600745,闻泰科技
54,600090,*ST济堂
55,600555,*ST海创
56,688003,天准科技
57,603116,红蜻蜓
58,600290,*ST华仪
59,600856,*ST中天
60,600671,*ST目药
61,603948,建业股份
62,688298,东方生物
63,603881,数据港
64,603568,伟明环保
65,605186,健麾信息
66,600319,ST亚星
67,600408,ST安泰
68,600219,南山铝业
69,688008,澜起科技
70,600816,*ST安信
71,600126,杭钢股份
72,601311,骆驼股份
73,603848,好太太
74,603076,乐惠国际
75,605179,一鸣食品
76,688595,芯海科技
77,605018,长华股份
78,600356,恒丰纸业
79,603081,大丰实业
80,601021,春秋航空
81,603515,欧普照明
82,600395,盘江股份
83,603697,有友食品
84,603496,恒为科技
85,688656,浩欧博
86,605111,新洁能
87,603619,中曼石油
88,605368,蓝天燃气
89,601318,中国平安
90,603195,公牛集团
91,605277,新亚电子
92,688026,洁特生物
93,688139,海尔生物
94,688179,阿拉丁
95,600262,北方股份
96,600210,紫江企业
97,688339,亿华通-U
98,601658,邮储银行
99,600096,云天化
100,603112,华翔股份
101,603856,东宏股份
102,603016,新宏泰
103,600189,泉阳泉
104,600517,国网英大
105,605388,均瑶健康
106,603183,建研院
107,688268,华特气体
108,600207,安彩高科
109,600436,片仔癀
110,600211,西藏药业
111,603586,金麒麟
112,600335,国机汽车
113,601808,中海油服
114,600292,远达环保
115,603060,国检集团
116,600327,大东方
117,600145,*ST新亿
118,600305,恒顺醋业
119,603005,晶方科技
120,603378,亚士创能
121,603703,盛洋科技
122,600552,凯盛科技
123,688019,安集科技
124,601218,吉鑫科技
125,600486,扬农化工
126,601515,东风股份
127,600885,宏发股份
128,600225,*ST松江
129,603363,傲农生物
130,600006,东风汽车
131,605058,澳弘电子
132,600295,鄂尔多斯
133,600246,万通发展
134,600684,珠江实业
135,600118,中国卫星
136,600515,海航基础
137,600185,格力地产
138,605258,协和电子
139,601686,友发集团
140,603027,千禾味业
141,603826,坤彩科技
142,600419,天润乳业
143,603979,金诚信
144,600439,瑞贝卡
145,600234,ST山水
146,600688,上海石化
147,605376,博迁新材
148,603212,赛伍技术
149,600740,山西焦化
150,603633,徕木股份
151,688317,之江生物
152,603639,海利尔
153,600732,爱旭股份
154,600863,内蒙华电
155,600117,西宁特钢
156,603596,伯特利
157,600298,安琪酵母
158,605099,共创草坪
159,601512,中新集团
160,688519,南亚新材
161,600426,华鲁恒升
162,603986,兆易创新
163,603133,碳元科技
164,601225,陕西煤业
165,600753,东方银星
166,603810,丰山集团
167,603558,健盛集团
168,600884,杉杉股份
169,600306,*ST商城
170,603605,珀莱雅
171,688396,华润微
172,600409,三友化工
173,601113,ST华鼎
174,603727,博迈科
175,600655,豫园股份
176,600339,中油工程
177,601838,成都银行
178,601601,中国太保
179,600146,*ST环球
180,600004,白云机场
181,600811,东方集团
182,603818,曲美家居
183,600303,曙光股份
184,601138,工业富联
185,603966,法兰泰克
186,603758,秦安股份
187,603187,海容冷链
188,605336,帅丰电器
189,603079,圣达生物
190,601028,玉龙股份
191,601012,隆基股份
192,600843,上工申贝
193,603600,永艺股份
194,600876,洛阳玻璃
195,603228,景旺电子
196,600926,杭州银行
197,603936,博敏电子
198,688069,德林海
199,603983,丸美股份
200,601928,凤凰传媒
201,600116,三峡水利
202,601187,厦门银行
203,600871,石化油服
204,605218,伟时电子
205,603328,依顿电子
206,600739,辽宁成大
207,603899,晨光文具
208,600675,中华企业
209,600155,华创阳安
210,600741,华域汽车
211,600612,老凤祥
212,603178,圣龙股份
213,603608,天创时尚
214,688981,中芯国际-U
215,688007,光峰科技
216,603893,瑞芯微
217,601882,海天精工
218,600199,金种子酒
219,603156,养元饮品
220,600143,金发科技
221,688185,康希诺-U
222,600586,金晶科技
223,603950,长源东谷
224,600970,中材国际
225,600352,浙江龙盛
226,601599,鹿港文化
227,601997,贵阳银行
228,603726,朗迪集团
229,600919,江苏银行
230,600857,宁波中百
231,603681,永冠新材
232,600642,申能股份
233,600691,阳煤化工
234,601698,中国卫通
235,603916,苏博特
236,603226,菲林格尔
237,603707,健友股份
238,600289,*ST信通
239,688628,优利德
240,603922,金鸿顺
241,600122,*ST宏图
242,603868,飞科电器
243,600887,伊利股份
244,605299,舒华体育
245,600702,ST舍得
246,688056,莱伯泰科
247,601200,上海环境
248,600870,ST厦华
249,600989,宝丰能源
250,601777,*ST力帆
251,600328,中盐化工
252,603565,中谷物流
253,600081,东风科技
254,600987,航民股份
255,600336,澳柯玛
256,600823,世茂股份
257,600153,建发股份
258,600696,ST岩石
259,601615,明阳智能
260,603602,纵横通信
261,600968,海油发展
262,603711,香飘飘
263,603519,立霸股份
264,600525,长园集团
265,603333,尚纬股份
266,600200,江苏吴中
267,600036,招商银行
268,601229,上海银行
269,600529,山东药玻
270,688088,虹软科技
271,600075,新疆天业
272,603786,科博达
273,600605,汇通能源
