,0,1
0,300859,西域旅游
1,300529,健帆生物
2,300489,中飞股份
3,000428,华天酒店
4,000892,欢瑞世纪
5,000908,景峰医药
6,002654,万润科技
7,000718,苏宁环球
8,000711,京蓝科技
9,002712,思美传媒
10,002455,百川股份
11,002532,天山铝业
12,000985,大庆华科
13,003036,泰坦股份
14,003037,三和管桩
15,003019,宸展光电
16,003003,天元股份
17,002948,青岛银行
18,002550,千红制药
19,002305,南国置业
20,002242,九阳股份
21,003010,若羽臣
22,002612,朗姿股份
23,003002,壶化股份
24,000026,飞亚达
25,002900,哈三联
26,002015,协鑫能科
27,002081,金 螳 螂
28,002082,万邦德
29,000150,宜华健康
30,003035,南网能源
31,002084,海鸥住工
32,002516,旷达科技
33,002653,海思科
34,002007,华兰生物
35,300452,山河药辅
36,000910,大亚圣象
37,300239,东宝生物
38,300871,回盛生物
39,002043,兔 宝 宝
40,300453,三鑫医疗
41,002799,环球印务
42,300749,顶固集创
43,002563,森马服饰
44,300860,锋尚文化
45,300486,东杰智能
46,002514,宝馨科技
47,300367,ST网力
48,300013,新宁物流
49,300182,捷成股份
50,300122,智飞生物
51,300405,科隆股份
52,300644,南京聚隆
53,300851,交大思诺
54,002377,国创高新
55,002145,中核钛白
56,002657,中科金财
57,300685,艾德生物
58,002383,合众思壮
59,002839,张家港行
60,000526,紫光学大
61,002541,鸿路钢构
62,000807,云铝股份
63,000732,泰禾集团
64,002016,世荣兆业
65,002727,一心堂
66,002256,*ST兆新
67,000673,*ST当代
68,000835,*ST长动
69,300760,迈瑞医疗
70,000923,河钢资源
71,300274,阳光电源
72,002511,中顺洁柔
73,000403,双林生物
74,000610,西安旅游
75,000971,*ST高升
76,002470,*ST金正
77,300030,阳普医疗
78,002668,奥马电器
79,002147,*ST新光
80,002991,甘源食品
81,000890,*ST胜尔
82,000796,凯撒旅业
83,300374,中铁装配
84,300086,康芝药业
85,002089,ST新海
86,002146,荣盛发展
87,000918,嘉凯城
88,000656,金科股份
89,002773,康弘药业
90,002822,中装建设
91,002021,ST中捷
92,300358,楚天科技
93,002277,友阿股份
94,000626,远大控股
95,300015,爱尔眼科
96,002958,青农商行
97,002153,石基信息
98,002936,郑州银行
99,300628,亿联网络
100,000538,云南白药
101,002059,云南旅游
102,000785,居然之家
103,002707,众信旅游
104,300171,东富龙
105,002142,宁波银行
106,000069,华侨城Ａ
107,000919,金陵药业
108,002294,信立泰
109,002027,分众传媒
110,002419,天虹股份
111,300791,仙乐健康
112,002304,洋河股份
113,002311,海大集团
114,300931,通用电梯
115,000933,神火股份
116,002028,思源电气
117,300635,中达安
118,000524,岭南控股
119,002929,润建股份
120,300765,新诺威
121,002966,苏州银行
122,002832,比音勒芬
123,300763,锦浪科技
124,002884,凌霄泵业
125,002807,江阴银行
126,002886,沃特股份
127,300336,新文化
128,000797,中国武夷
129,002471,中超控股
130,002967,广电计量
131,002575,*ST群兴
132,003012,东鹏控股
133,000411,英特集团
134,000002,万  科Ａ
135,002997,瑞鹄模具
136,002327,富安娜
137,300143,盈康生命
138,300521,爱司凯
139,300337,银邦股份
140,003001,中岩大地
141,000587,*ST金洲
142,002988,豪美新材
143,000010,美丽生态
144,002004,华邦健康
145,300255,常山药业
146,300097,智云股份
147,300482,万孚生物
148,300144,宋城演艺
149,002126,银轮股份
150,002038,双鹭药业
151,002765,蓝黛科技
152,000568,泸州老窖
153,300142,沃森生物
154,002835,同为股份
155,002578,闽发铝业
156,002376,新北洋
157,300309,吉艾科技
158,300707,威唐工业
159,002551,尚荣医疗
160,300632,光莆股份
161,000567,海德股份
162,300110,华仁药业
163,000014,沙河股份
164,002513,*ST蓝丰
165,000672,上峰水泥
166,002427,ST尤夫
167,002907,华森制药
168,300406,九强生物
169,002033,丽江股份
